Identifiant du projet lauréat;Lien URL vers le projet soumis au vote;Lien URL vers le projet lauréat;Edition;Titre du projet lauréat;Thématique;Direction pilote du projet lauréat;Budget global du projet lauréat;Echelle du Budget participatif;Adresse du projet lauréat;Arrondissement du projet lauréat;Projet en Quartier populaire;Avancement du projet;Date de début des études du projet;Date de lancement des procédures du projet;Date de lancement des travaux du projet;Date prévisonnelle de livraison du projet;Date d'ouverture du projet au public;Dernière mise à jour des données du projet
6212;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=001893;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6212&portlet_id=158;2018;Installation d'agrès sportifs dans le parc Sainte Périne;Sport;Direction des Espaces Verts et de l’Environnement;30000;Budget participatif d’arrondissement;jardin de l'Hopital Sainte-Perine;75016;Non;FIN;2018-10;2019-02;2019-05;2019-05;2019-05;
3705;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=D&idee=002769;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=3705&portlet_id=158;2017;Continuer l'amélioration de l'accessibilité pour tous dans le 13e;Cadre de vie;Direction de la Jeunesse et des Sports;1590000;Budget participatif d’arrondissement;mairie du 13e Arrondissement;75013;Non;FIN;2018-01;2018-02;2018-04;2018-06;2024-02;
6333;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=E&idee=002158;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=6333&portlet_id=158;2018;Des chaussées rénovées !;Cadre de vie;Direction de la Voirie et des Déplacements;1955000;Budget participatif d’arrondissement;1 Place d'Italie;75013;Non;FIN;2019-04;;2019-05;2019-05;2021-06;
2015;;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=2015&portlet_id=158;2015;Du vert à tous les étages;Environnement;Direction des Espaces Verts et de l’Environnement;2000000;Budget participatif parisien;Place de l' Hotel de Ville - Esplanade de la Libération;75004;Non;FIN;2016-02;2016-05;2016-07;2016-08;2020-10;
8575;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=000646;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8575&portlet_id=158;2019;La bibliothèque des Batignolles réaménagée et accessible;Culture et patrimoine;Direction des Affaires Culturelles;850000;Budget participatif d’arrondissement;16 rue des Batignolles;75017;Non;FIN;2020-01;;2022-10;2023-07;2023-08;
8742;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=000926;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8742&portlet_id=158;2019;Un espace jeux pour tous;Education et jeunesse;Direction des Familles et de la Petite Enfance;140000;Budget participatif d’arrondissement;2 rue de Torcy;75018;Oui;FIN;2020-01;2020-09;;2021-07;2021-12;
8480;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=001220;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8480&portlet_id=158;2019;Une salle d'arts plastiques pour l'école Saint-Merri Renard;Education et jeunesse;Direction des Affaires Scolaires;300000;Budget participatif d’arrondissement;11 rue Saint-Merri;75123;Non;TRAVAUX;2020-01;2020-05;2022-07;2025-03;;
8827;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=002265;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8827&portlet_id=158;2019;De nouvelles maisons de santé;Santé;;500000;Budget participatif d’arrondissement;place Raoul Dautry;75015;Non;ETUDES;2020-01;;;;;
8651;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=002280;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8651&portlet_id=158;2019;Améliorons l’environnement des usages du Bois de Vincennes;Environnement;Direction des Espaces Verts et de l’Environnement;962000;Budget participatif d’arrondissement;bois de Vincennes;75012;Non;LIVRAISON;2019-10;;;2021-05;;
8535;https://decider.paris.fr/bp/jsp/site/Portal.jsp?page=idee&campagne=F&idee=002198;https://decider.paris.fr/bp/jsp/site/Portal.jsp?document_id=8535&portlet_id=158;2019;Balade culturelle dans le 14e;Culture et patrimoine;Direction des Affaires Culturelles;240000;Budget participatif d’arrondissement;Mairie du 14e;75014;Non;LIVRAISON;2019-10;2020-03;2020-06;2022-11;;
